Year,Month,Season,EnergyUse,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2019,1,Winter,175368,39.14193548,24.58387097,32.39677419,35.70322581,16.46451613,26.45483871,19.89677419,61.79677419,0.124,35.48387097,10.35,#DIV/0!,0.035483871,0.1,26.03870968,14.55483871,202.916129,1017.858065,45.5516129,8.974193548,44.0483871,3.812903226,2.709677419
2019,2,Winter,147759,45.09642857,29.73928571,37.16071429,41.91071429,23.00357143,32.40357143,23.35714286,59.975,0.084535714,46.42857143,13.3925,#DIV/0!,0.135714286,0.128571429,24.775,14.18214286,219.4464286,1020.353571,39.4,8.517857143,72.63571429,6.278571429,4.071428571
2019,3,Spring,114338,48.80645161,32.11290323,40.75483871,46.43548387,26.60322581,36.67096774,25.72580645,58.38064516,0.106870968,32.25806452,12.09709677,#DIV/0!,0.167741935,0.335483871,25.28709677,14.26774194,219.783871,1019.193548,40.11935484,9.148387097,129.0516129,11.17096774,5.774193548
2019,4,Spring,77429,65.47333333,46.12,55.5,65.24666667,43.62333333,54.40666667,41.78,63.42,0.138166667,46.66666667,11.94466667,#DIV/0!,0,0,26.57666667,15.58,198.4066667,1015.026667,46.92333333,9.293333333,164.1066667,14.13333333,6.766666667
2019,5,Spring,63782,71.6483871,54.30645161,62.6,71.90322581,53.63548387,62.31290323,53.26129032,74.48709677,0.237354839,67.74193548,17.20451613,#DIV/0!,0,0,25.42903226,13.08709677,200.8451613,1013.86129,53.01935484,8.751612903,184.6129032,15.94193548,6.903225806
2019,6,Summer,55989,79.73,62.29666667,71.07,80.28333333,62.29666667,71.20666667,59.18,69.29666667,0.2021,50,13.19466667,#DIV/0!,0,0,23.6,13.73666667,210.16,1012.62,29.46,9.033333333,222.5566667,19.17666667,7.5
2019,7,Summer,72972,87.12258065,69.07419355,77.99354839,90.9483871,69.07419355,79.60322581,67.35806452,72.3483871,0.228451613,38.70967742,10.88741935,#DIV/0!,0,0,21.43870968,10.27419355,242.5774194,1013.890323,26.63548387,9.329032258,215.7935484,18.61290323,7.806451613
2019,8,Summer,67512,82.82258065,66.51935484,74.10967742,84.83548387,66.51935484,74.7483871,64.48387097,74.31935484,0.078967742,32.25806452,6.182903226,#DIV/0!,0,0,19.94193548,10.77741935,167.0483871,1014.254839,32.5,9.24516129,184.7032258,15.96451613,7.290322581
2019,9,Fall,57971,78.90666667,59.33,68.81666667,79.71,59.22333333,69.00666667,58.22666667,71.45666667,0.0681,33.33333333,4.583333333,#DIV/0!,0,0,20.71,11.18666667,156.2266667,1018.476667,34.69,9.563333333,134.61,11.6,5.933333333
2019,10,Fall,64554,66.91290323,50.41290323,58.50322581,67.03548387,49.42580645,58.33870968,49.36774194,74.18387097,0.157709677,58.06451613,15.86032258,#DIV/0!,0,0,23.72903226,13.5483871,157.2032258,1017.36129,50.48387097,8.922580645,69.25806452,5.967741935,3.903225806
2019,11,Fall,140646,50.08333333,32.48,41.19,48.15333333,28.13333333,37.87333333,28.88333333,63.64666667,0.053933333,23.33333333,5.278,#DIV/0!,0,0.003333333,23.27333333,13.76666667,244.4866667,1017.856667,28.31333333,9.47,49.71666667,4.263333333,2.966666667
2019,12,Winter,179423,43.47096774,29.87419355,36.75806452,40.20645161,23.69354839,32.22580645,28.40967742,73.32580645,0.161387097,45.16129032,19.75806452,#DIV/0!,0.070967742,0.064516129,23.80967742,13.01290323,220.5290323,1017.590323,47.67741935,8.364516129,30.00322581,2.574193548,2.032258065
2020,1,Winter,153715,44.43548387,29.76451613,37.43870968,41.14193548,23.96774194,32.99677419,26.18064516,65.84516129,0.070129032,35.48387097,8.467741935,#DIV/0!,0.009677419,0.041935484,24.13548387,13.81290323,233.7032258,1019.625806,45.77096774,9.05483871,47.86774194,4.125806452,2.774193548
2020,2,Winter,143228,46.51034483,31.23793103,38.64827586,44.21724138,24.96206897,34.45172414,26.4,64.99655172,0.093172414,41.37931034,16.09172414,#DIV/0!,0,0,23.91724138,13.3,237.9551724,1016.089655,50.19655172,8.475862069,60.15172414,5.172413793,3.379310345
2020,3,Spring,97747,54.98387097,38.38387097,46.42903226,53.83548387,33.61935484,43.54193548,33.1483871,64.01290323,0.120548387,51.61290323,13.17225806,#DIV/0!,0,0.003225806,25.1516129,14.90967742,201.0129032,1019.293548,48.16774194,8.861290323,100.7387097,8.687096774,4.806451613
2020,4,Spring,73187,57.57666667,41.03333333,49.25,56.76666667,36.86333333,46.9,35.29,62.03666667,0.145766667,50,15,#DIV/0!,0,0,27.84,16.59666667,225.1166667,1011.08,51.15666667,9.226666667,144.48,12.46,5.866666667
2020,5,Spring,51926,68.39354839,50.12903226,59.36451613,68.39677419,48.64516129,58.67419355,45.58387097,63.68387097,0.06116129,38.70967742,9.005483871,#DIV/0!,0,0,25.27419355,15.0483871,197.6225806,1016.493548,43.38387097,9.35483871,213.8129032,18.48387097,7.516129032
2020,6,Summer,54689,81.60333333,62.31666667,71.91,82.51666667,62.21666667,72.22666667,58.93,66.49333333,0.077266667,36.66666667,7.361,#DIV/0!,0,0,24.67,13.32333333,224.61,1014.73,25.40333333,9.486666667,242.4433333,20.93333333,8.133333333
